,title,embedding_dim,rnn_units,rnn_type,optimizer,activation,dropout,accuracy,loss,precision,recall
0,['$50_$32_$GRU_$rmsprop'],[50],[32],['GRU'],['rmsprop'],['relu'],[0.2],[0.9892376661300659],[0.05434701219201088],[1.0],[0.9220778942108154]
1,['$50_$32_$GRU_$rmsprop'],[50],[32],['GRU'],['rmsprop'],['relu'],[0.4],[0.9892376661300659],[0.05611313879489899],[1.0],[0.9220778942108154]
2,['$50_$32_$GRU_$rmsprop'],[50],[32],['GRU'],['rmsprop'],['tanh'],[0.2],[0.9883407950401306],[0.056659482419490814],[0.9795918464660645],[0.9350649118423462]
3,['$50_$32_$GRU_$rmsprop'],[50],[32],['GRU'],['rmsprop'],['tanh'],[0.4],[0.9883407950401306],[0.04425812140107155],[0.9731543660163879],[0.9415584206581116]
4,['$50_$32_$GRU_$sgd'],[50],[32],['GRU'],['sgd'],['relu'],[0.2],[0.8618834018707275],[0.4011884927749634],[0.0],[0.0]
5,['$50_$32_$GRU_$sgd'],[50],[32],['GRU'],['sgd'],['relu'],[0.4],[0.8618834018707275],[0.4011608064174652],[0.0],[0.0]
6,['$50_$32_$GRU_$sgd'],[50],[32],['GRU'],['sgd'],['tanh'],[0.2],[0.8618834018707275],[0.40034860372543335],[0.0],[0.0]
7,['$50_$32_$GRU_$sgd'],[50],[32],['GRU'],['sgd'],['tanh'],[0.4],[0.8618834018707275],[0.40142112970352173],[0.0],[0.0]
8,['$50_$64_$GRU_$rmsprop'],[50],[64],['GRU'],['rmsprop'],['relu'],[0.2],[0.9775784611701965],[0.08449261635541916],[0.89570552110672],[0.948051929473877]
9,['$50_$64_$GRU_$rmsprop'],[50],[64],['GRU'],['rmsprop'],['relu'],[0.4],[0.9820627570152283],[0.06466218829154968],[0.9350649118423462],[0.9350649118423462]
10,['$50_$64_$GRU_$rmsprop'],[50],[64],['GRU'],['rmsprop'],['tanh'],[0.2],[0.9874439239501953],[0.060280222445726395],[0.9929577708244324],[0.9155844449996948]
11,['$50_$64_$GRU_$rmsprop'],[50],[64],['GRU'],['rmsprop'],['tanh'],[0.4],[0.9892376661300659],[0.05860617011785507],[0.9930555820465088],[0.9285714030265808]
12,['$50_$64_$GRU_$sgd'],[50],[64],['GRU'],['sgd'],['relu'],[0.2],[0.8618834018707275],[0.40107330679893494],[0.0],[0.0]
13,['$50_$64_$GRU_$sgd'],[50],[64],['GRU'],['sgd'],['relu'],[0.4],[0.8618834018707275],[0.40059319138526917],[0.0],[0.0]
14,['$50_$64_$GRU_$sgd'],[50],[64],['GRU'],['sgd'],['tanh'],[0.2],[0.8618834018707275],[0.4010547399520874],[0.0],[0.0]
15,['$50_$64_$GRU_$sgd'],[50],[64],['GRU'],['sgd'],['tanh'],[0.4],[0.8618834018707275],[0.40118664503097534],[0.0],[0.0]
16,['$50_$128_$GRU_$rmsprop'],[50],[128],['GRU'],['rmsprop'],['relu'],[0.2],[0.9874439239501953],[0.049368612468242645],[0.9605262875556946],[0.948051929473877]
17,['$50_$128_$GRU_$rmsprop'],[50],[128],['GRU'],['rmsprop'],['relu'],[0.4],[0.9910314083099365],[0.04809492826461792],[1.0],[0.9350649118423462]
18,['$50_$128_$GRU_$rmsprop'],[50],[128],['GRU'],['rmsprop'],['tanh'],[0.2],[0.9901345372200012],[0.051226019859313965],[0.9931034445762634],[0.9350649118423462]
19,['$50_$128_$GRU_$rmsprop'],[50],[128],['GRU'],['rmsprop'],['tanh'],[0.4],[0.9901345372200012],[0.050638843327760696],[0.9931034445762634],[0.9350649118423462]
20,['$50_$128_$GRU_$sgd'],[50],[128],['GRU'],['sgd'],['relu'],[0.2],[0.8618834018707275],[0.40110597014427185],[0.0],[0.0]
21,['$50_$128_$GRU_$sgd'],[50],[128],['GRU'],['sgd'],['relu'],[0.4],[0.8618834018707275],[0.40126854181289673],[0.0],[0.0]
22,['$50_$128_$GRU_$sgd'],[50],[128],['GRU'],['sgd'],['tanh'],[0.2],[0.8618834018707275],[0.401977002620697],[0.0],[0.0]
23,['$50_$128_$GRU_$sgd'],[50],[128],['GRU'],['sgd'],['tanh'],[0.4],[0.8618834018707275],[0.4014641046524048],[0.0],[0.0]
24,['$100_$32_$GRU_$rmsprop'],[100],[32],['GRU'],['rmsprop'],['relu'],[0.2],[0.9892376661300659],[0.04881276562809944],[0.9930555820465088],[0.9285714030265808]
25,['$100_$32_$GRU_$rmsprop'],[100],[32],['GRU'],['rmsprop'],['relu'],[0.4],[0.9856502413749695],[0.053311463445425034],[0.9539473652839661],[0.9415584206581116]
26,['$100_$32_$GRU_$rmsprop'],[100],[32],['GRU'],['rmsprop'],['tanh'],[0.2],[0.9874439239501953],[0.0541074238717556],[0.9794520735740662],[0.9285714030265808]
27,['$100_$32_$GRU_$rmsprop'],[100],[32],['GRU'],['rmsprop'],['tanh'],[0.4],[0.9847533702850342],[0.05432462692260742],[0.9536423683166504],[0.9350649118423462]
28,['$100_$32_$GRU_$sgd'],[100],[32],['GRU'],['sgd'],['relu'],[0.2],[0.8618834018707275],[0.40061676502227783],[0.0],[0.0]
29,['$100_$32_$GRU_$sgd'],[100],[32],['GRU'],['sgd'],['relu'],[0.4],[0.8618834018707275],[0.4014410674571991],[0.0],[0.0]
30,['$100_$32_$GRU_$sgd'],[100],[32],['GRU'],['sgd'],['tanh'],[0.2],[0.8618834018707275],[0.400901198387146],[0.0],[0.0]
31,['$100_$32_$GRU_$sgd'],[100],[32],['GRU'],['sgd'],['tanh'],[0.4],[0.8618834018707275],[0.3996677100658417],[0.0],[0.0]
32,['$100_$64_$GRU_$rmsprop'],[100],[64],['GRU'],['rmsprop'],['relu'],[0.2],[0.9901345372200012],[0.05888109281659126],[1.0],[0.9285714030265808]
33,['$100_$64_$GRU_$rmsprop'],[100],[64],['GRU'],['rmsprop'],['relu'],[0.4],[0.9883407950401306],[0.057190973311662674],[0.9795918464660645],[0.9350649118423462]
34,['$100_$64_$GRU_$rmsprop'],[100],[64],['GRU'],['rmsprop'],['tanh'],[0.2],[0.9901345372200012],[0.054754290729761124],[1.0],[0.9285714030265808]
35,['$100_$64_$GRU_$rmsprop'],[100],[64],['GRU'],['rmsprop'],['tanh'],[0.4],[0.9883407950401306],[0.06332479417324066],[0.9795918464660645],[0.9350649118423462]
36,['$100_$64_$GRU_$sgd'],[100],[64],['GRU'],['sgd'],['relu'],[0.2],[0.8618834018707275],[0.40010708570480347],[0.0],[0.0]
37,['$100_$64_$GRU_$sgd'],[100],[64],['GRU'],['sgd'],['relu'],[0.4],[0.8618834018707275],[0.40125757455825806],[0.0],[0.0]
38,['$100_$64_$GRU_$sgd'],[100],[64],['GRU'],['sgd'],['tanh'],[0.2],[0.8618834018707275],[0.4007629454135895],[0.0],[0.0]
39,['$100_$64_$GRU_$sgd'],[100],[64],['GRU'],['sgd'],['tanh'],[0.4],[0.8618834018707275],[0.4000185430049896],[0.0],[0.0]
40,['$100_$128_$GRU_$rmsprop'],[100],[128],['GRU'],['rmsprop'],['relu'],[0.2],[0.9829596281051636],[0.06153346970677376],[0.9299362897872925],[0.948051929473877]
41,['$100_$128_$GRU_$rmsprop'],[100],[128],['GRU'],['rmsprop'],['relu'],[0.4],[0.9847533702850342],[0.057490989565849304],[0.9597315192222595],[0.9285714030265808]
42,['$100_$128_$GRU_$rmsprop'],[100],[128],['GRU'],['rmsprop'],['tanh'],[0.2],[0.9784753322601318],[0.058623433113098145],[0.90625],[0.9415584206581116]
43,['$100_$128_$GRU_$rmsprop'],[100],[128],['GRU'],['rmsprop'],['tanh'],[0.4],[0.9901345372200012],[0.058549124747514725],[0.9931034445762634],[0.9350649118423462]
44,['$100_$128_$GRU_$sgd'],[100],[128],['GRU'],['sgd'],['relu'],[0.2],[0.8618834018707275],[0.4005434215068817],[0.0],[0.0]
45,['$100_$128_$GRU_$sgd'],[100],[128],['GRU'],['sgd'],['relu'],[0.4],[0.8618834018707275],[0.4011550843715668],[0.0],[0.0]
46,['$100_$128_$GRU_$sgd'],[100],[128],['GRU'],['sgd'],['tanh'],[0.2],[0.8618834018707275],[0.4006694257259369],[0.0],[0.0]
47,['$100_$128_$GRU_$sgd'],[100],[128],['GRU'],['sgd'],['tanh'],[0.4],[0.8618834018707275],[0.40132811665534973],[0.0],[0.0]
