,title,embedding_dim,rnn_units,rnn_type,optimizer,activation,dropout,accuracy,loss,precision,recall
0,['$50_$32_$SimpleRNN_$rmsprop'],[50],[32],['SimpleRNN'],['rmsprop'],['relu'],[0.2],[0.9847533702850342],[0.05998293682932854],[0.97826087474823],[0.9060402512550354]
1,['$50_$32_$SimpleRNN_$rmsprop'],[50],[32],['SimpleRNN'],['rmsprop'],['relu'],[0.4],[0.9865471124649048],[0.0907621756196022],[1.0],[0.899328887462616]
2,['$50_$32_$SimpleRNN_$rmsprop'],[50],[32],['SimpleRNN'],['rmsprop'],['tanh'],[0.2],[0.9641255736351013],[0.10921534895896912],[0.8303030133247375],[0.9194630980491638]
3,['$50_$32_$SimpleRNN_$rmsprop'],[50],[32],['SimpleRNN'],['rmsprop'],['tanh'],[0.4],[0.9784753322601318],[0.09241899102926254],[0.9496402740478516],[0.8859060406684875]
4,['$50_$32_$SimpleRNN_$sgd'],[50],[32],['SimpleRNN'],['sgd'],['relu'],[0.2],[0.8941704034805298],[0.2666417062282562],[0.9696969985961914],[0.21476510167121887]
5,['$50_$32_$SimpleRNN_$sgd'],[50],[32],['SimpleRNN'],['sgd'],['relu'],[0.4],[0.926457405090332],[0.23332491517066956],[0.8941176533699036],[0.5100671052932739]
6,['$50_$32_$SimpleRNN_$sgd'],[50],[32],['SimpleRNN'],['sgd'],['tanh'],[0.2],[0.9372197389602661],[0.21830351650714874],[0.7453415989875793],[0.8053691387176514]
7,['$50_$32_$SimpleRNN_$sgd'],[50],[32],['SimpleRNN'],['sgd'],['tanh'],[0.4],[0.8914798498153687],[0.22753657400608063],[0.5614035129547119],[0.8590604066848755]
8,['$50_$64_$SimpleRNN_$rmsprop'],[50],[64],['SimpleRNN'],['rmsprop'],['relu'],[0.2],[0.9865471124649048],[0.06632601469755173],[0.9855072498321533],[0.9127516746520996]
9,['$50_$64_$SimpleRNN_$rmsprop'],[50],[64],['SimpleRNN'],['rmsprop'],['relu'],[0.4],[0.9811659455299377],[0.07949373126029968],[0.9507042169570923],[0.9060402512550354]
10,['$50_$64_$SimpleRNN_$rmsprop'],[50],[64],['SimpleRNN'],['rmsprop'],['tanh'],[0.2],[0.9838564991950989],[0.10288278758525848],[0.9924812316894531],[0.8859060406684875]
11,['$50_$64_$SimpleRNN_$rmsprop'],[50],[64],['SimpleRNN'],['rmsprop'],['tanh'],[0.4],[0.9784753322601318],[0.10699434578418732],[0.956204354763031],[0.8791946172714233]
12,['$50_$64_$SimpleRNN_$sgd'],[50],[64],['SimpleRNN'],['sgd'],['relu'],[0.2],[0.8663676977157593],[0.2959959805011749],[0.0],[0.0]
13,['$50_$64_$SimpleRNN_$sgd'],[50],[64],['SimpleRNN'],['sgd'],['relu'],[0.4],[0.8914798498153687],[0.2548995614051819],[0.9666666388511658],[0.19463087618350983]
14,['$50_$64_$SimpleRNN_$sgd'],[50],[64],['SimpleRNN'],['sgd'],['tanh'],[0.2],[0.8349775671958923],[0.32306981086730957],[0.4406779706478119],[0.8724831938743591]
15,['$50_$64_$SimpleRNN_$sgd'],[50],[64],['SimpleRNN'],['sgd'],['tanh'],[0.4],[0.9650224447250366],[0.13970084488391876],[0.9104477763175964],[0.818791925907135]
16,['$50_$128_$SimpleRNN_$rmsprop'],[50],[128],['SimpleRNN'],['rmsprop'],['relu'],[0.2],[0.9713004231452942],[0.08786216378211975],[0.9333333373069763],[0.8456375598907471]
17,['$50_$128_$SimpleRNN_$rmsprop'],[50],[128],['SimpleRNN'],['rmsprop'],['relu'],[0.4],[0.9865471124649048],[0.06818351149559021],[0.9785714149475098],[0.9194630980491638]
18,['$50_$128_$SimpleRNN_$rmsprop'],[50],[128],['SimpleRNN'],['rmsprop'],['tanh'],[0.2],[0.9865471124649048],[0.09619850665330887],[1.0],[0.899328887462616]
19,['$50_$128_$SimpleRNN_$rmsprop'],[50],[128],['SimpleRNN'],['rmsprop'],['tanh'],[0.4],[0.9802690744400024],[0.12443280965089798],[0.9847328066825867],[0.8657718300819397]
20,['$50_$128_$SimpleRNN_$sgd'],[50],[128],['SimpleRNN'],['sgd'],['relu'],[0.2],[0.9183856248855591],[0.22190898656845093],[0.9264705777168274],[0.42281877994537354]
